review,rating,date,bank,source
very good promotions all the time.,5,2025-11-29,Bank of Abyssinia,Google Play
LOVE MY BANK OF AMERICA,5,2025-11-29,Bank of Abyssinia,Google Play
Best app of all of the banks!,5,2025-11-29,Bank of Abyssinia,Google Play
AM VERY SATISFIED WITH YOUR EXPERTISE,5,2025-11-29,Bank of Abyssinia,Google Play
Customer service not existing....,1,2025-11-29,Bank of Abyssinia,Google Play
It's awesome! love it,5,2025-11-29,Bank of Abyssinia,Google Play
many many years no problems,5,2025-11-29,Bank of Abyssinia,Google Play
it would be better if we could get daily updates/ predictions of when your new card is going to be delivered,4,2025-11-29,Bank of Abyssinia,Google Play
I really appreciate the online bofa system it really structures my life thanks!!!,5,2025-11-29,Bank of Abyssinia,Google Play
why not show us we need an updatei steady nothing works but shows it is. this bank is getting on my last nerve,1,2025-11-29,Bank of Abyssinia,Google Play
App is crashing / logging out when I log in for the first time in a day,2,2025-11-29,Bank of Abyssinia,Google Play
👍🏻GREAT,5,2025-11-29,Bank of Abyssinia,Google Play
very easy on the eyes,4,2025-11-29,Bank of Abyssinia,Google Play
great,5,2025-11-29,Bank of Abyssinia,Google Play
"Feels insecure. Constantly asks me to update my personal information, when no changes have been made in years. slow loading account transactions. Have to individually pay credit card bills, instead of a single page. Just very clumsy application all around.",1,2025-11-29,Bank of Abyssinia,Google Play
I can't see all the transactions. I want to see from April 10 to now.,1,2025-11-29,Bank of Abyssinia,Google Play
always great 👍,5,2025-11-29,Bank of Abyssinia,Google Play
excellent,5,2025-11-29,Bank of Abyssinia,Google Play
it is always easy to use. it's very convenient.,5,2025-11-29,Bank of Abyssinia,Google Play
everything is great,5,2025-11-29,Bank of Abyssinia,Google Play
Very easy.,5,2025-11-29,Bank of Abyssinia,Google Play
I appreciate Bank of America only sometimes I can't deposit a check online,5,2025-11-29,Bank of Abyssinia,Google Play
I've been able to do everything so far with this app,5,2025-11-29,Bank of Abyssinia,Google Play
Great App I Really Love It!!!!,5,2025-11-29,Bank of Abyssinia,Google Play
great app,5,2025-11-29,Bank of Abyssinia,Google Play
very good bank,5,2025-11-29,Bank of Abyssinia,Google Play
Application is very friendly and easy to use . 10 out 10 .,5,2025-11-29,Bank of Abyssinia,Google Play
"fast and easy,very informative",5,2025-11-29,Bank of Abyssinia,Google Play
Awesome!,5,2025-11-29,Bank of Abyssinia,Google Play
thank you for all what you do keep online bank safe thank you for acknowledging scammer,5,2025-11-29,Bank of Abyssinia,Google Play
Very accessible and easy to navigate.,5,2025-11-29,Bank of Abyssinia,Google Play
easy to use.,5,2025-11-29,Bank of Abyssinia,Google Play
Easy no hassle!,5,2025-11-29,Bank of Abyssinia,Google Play
BofA ABSOLUTELY FREAKING ROCKS!!!! APP is PERFECT,5,2025-11-29,Bank of Abyssinia,Google Play
"b af a is a very good app and if you can't change something in the app you can go online and modify it.. I don't have problems with it and am very content with the features. I wish there was an option to be able to verify say, six months of income without giving my entire statement. other than that, it's great. I've been with B of A for 50 years so obviously this works for me. 50 years! half a century, wow! I just realized how old that sounds and is. lol 😆",5,2025-11-29,Bank of Abyssinia,Google Play
Excellent,5,2025-11-29,Bank of Abyssinia,Google Play
User friendly,4,2025-11-29,Bank of Abyssinia,Google Play
Love the APP and how the bank is keeping up with the times and technology. Always works and been using it for years. BofA is definitely a leader on its app and in the banking industry. Still loving it after decades as a customer. App still works flawlessly.,5,2025-11-29,Bank of Abyssinia,Google Play
Responsive and easy to use. Never any issues. BOA customer of 45 years.,5,2025-11-29,Bank of Abyssinia,Google Play
love it,5,2025-11-29,Bank of Abyssinia,Google Play
app no longer working on my phone,1,2025-11-29,Bank of Abyssinia,Google Play
"app glitches, get words wrong when speaking needs, take way to long to connect to real person. (Go back to live agents without aI/automated pls). Disappointed in bank overall. when able to reach, live personnel are great, but very hard to come by. Save your money on technology, train and hire drive through tellers back and more call center personnel.",1,2025-11-29,Bank of Abyssinia,Google Play
awesome 👌,5,2025-11-29,Bank of Abyssinia,Google Play
very easy to access all accounts and see all transactions.,5,2025-11-29,Bank of Abyssinia,Google Play
awesome good experience,5,2025-11-29,Bank of Abyssinia,Google Play
great.nice and fast,5,2025-11-29,Bank of Abyssinia,Google Play
fast and efficient! I can also find my way around easily! also? the AI assistant helps 😀💓,5,2025-11-29,Bank of Abyssinia,Google Play
Excellent!!,5,2025-11-29,Bank of Abyssinia,Google Play
on point!,5,2025-11-29,Bank of Abyssinia,Google Play
Your app is realy helpfull.,5,2025-11-29,Bank of Abyssinia,Google Play
Easy to use I like the app,5,2025-11-29,Bank of Abyssinia,Google Play
Great,5,2025-11-29,Bank of Abyssinia,Google Play
Excellent Great Experience with Customer Service And The Bank Tellers Are Super My Branch in Woodstock Ga is ABSOLUTELY A Great Team Been With Them For 11 years 👏👏👏👏,5,2025-11-29,Bank of Abyssinia,Google Play
smooth,4,2025-11-28,Bank of Abyssinia,Google Play
"been with b.o.a for 35 years,great bank.",5,2025-11-28,Bank of Abyssinia,Google Play
The app is freezing and booting me out involuntarily. The latest message is that the app has a bug and I should clear my cache. Will this fix itself or is there an update coming soon?,1,2025-11-28,Bank of Abyssinia,Google Play
Easy to use.,5,2025-11-28,Bank of Abyssinia,Google Play
"EASY TO FOLLOW THROUGH, I LIKE IT...",5,2025-11-28,Bank of Abyssinia,Google Play
good app,5,2025-11-28,Bank of Abyssinia,Google Play
Love this app it is so easy and safe to use.thank you BOA😘 satisfaction is guaranteed 👍👍👍excellent.my favorite app,5,2025-11-28,Bank of Abyssinia,Google Play
Once in a while this app can't connect to the mobile data or wifi,2,2025-11-28,Bank of Abyssinia,Google Play
y'all don't even deserve a 1 star that's being to nice.,1,2025-11-28,Bank of Abyssinia,Google Play
I have no issue with Bank of America and I've been using them since 2016.,5,2025-11-28,Bank of Abyssinia,Google Play
An excellent 👏 app,5,2025-11-28,Bank of Abyssinia,Google Play
Love to be able to see if anybody else is using my account,5,2025-11-28,Bank of Abyssinia,Google Play
"great, easy and helpful",5,2025-11-28,Bank of Abyssinia,Google Play
Great bank ❤️❤️❤️🙏🙏❤️❤️🙏❤️❤️❤️ Have get a day ❤️❤️❤️❤️❤️❤️❤️❤️,5,2025-11-28,Bank of Abyssinia,Google Play
always alerts me to scams and any rare charges.,5,2025-11-28,Bank of Abyssinia,Google Play
Balance is difficult to track,2,2025-11-28,Bank of Abyssinia,Google Play
professional s,5,2025-11-28,Bank of Abyssinia,Google Play
"I love the app, it's shows everything right down to the penny, plus alot of offers. if your card is lost you can lock your phone for whatever reason, Thank you Bank of America, The best bank!",5,2025-11-28,Bank of Abyssinia,Google Play
Excelent !!!,5,2025-11-28,Bank of Abyssinia,Google Play
love,5,2025-11-28,Bank of Abyssinia,Google Play
Bank America is great!! Been with them for years!!! They have the best rate!! Love Bank Of America!!,5,2025-11-28,Bank of Abyssinia,Google Play
Bank of America was very helpful with me.,5,2025-11-28,Bank of Abyssinia,Google Play
Excellent,5,2025-11-28,Bank of Abyssinia,Google Play
"very useful, easy to use nn",5,2025-11-28,Bank of Abyssinia,Google Play
excellent,5,2025-11-28,Bank of Abyssinia,Google Play
easy to pay,5,2025-11-28,Bank of Abyssinia,Google Play
The mobile app is working so well.Fast and reliable.,5,2025-11-28,Bank of Abyssinia,Google Play
Easy to navigate,5,2025-11-28,Bank of Abyssinia,Google Play
Great,5,2025-11-28,Bank of Abyssinia,Google Play
This app is great,5,2025-11-28,Bank of Abyssinia,Google Play
works well let keep it for a few years Please,5,2025-11-28,Bank of Abyssinia,Google Play
the one and only problem I ever have is ordering replacement checks,5,2025-11-28,Bank of Abyssinia,Google Play
easy to navigate,5,2025-11-28,Bank of Abyssinia,Google Play
"easy,fast,secure",5,2025-11-28,Bank of Abyssinia,Google Play
the app has been a great option for me while I am overseas in the Philippines,5,2025-11-28,Bank of Abyssinia,Google Play
bring back quick balance,2,2025-11-28,Bank of Abyssinia,Google Play
"Wonderful, kind, trustworthy, patient",5,2025-11-28,Bank of Abyssinia,Google Play
the employes at the bank when ever I have needed assistance have always been very helpful and patient.,5,2025-11-28,Bank of Abyssinia,Google Play
Love the app and very easy to use with fingerprint access. Love it. Thumbs up,5,2025-11-28,Bank of Abyssinia,Google Play
Great service,5,2025-11-28,Bank of Abyssinia,Google Play
"EASY ACCESS,CONVENIENT.",5,2025-11-28,Bank of Abyssinia,Google Play
"availability, ease of use, gr8 customer service.",5,2025-11-28,Bank of Abyssinia,Google Play
easy and everything is available,5,2025-11-28,Bank of Abyssinia,Google Play
outstanding application,5,2025-11-28,Bank of Abyssinia,Google Play
could stand some improvement.,4,2025-11-28,Bank of Abyssinia,Google Play
