review,rating,date,bank,source,sentiment_score,sentiment_label
very good promotions all the time.,5,2025-11-29,Bank of Abyssinia,Google Play,0.4927,positive
LOVE MY BANK OF AMERICA,5,2025-11-29,Bank of Abyssinia,Google Play,0.6369,positive
Best app of all of the banks!,5,2025-11-29,Bank of Abyssinia,Google Play,0.6696,positive
AM VERY SATISFIED WITH YOUR EXPERTISE,5,2025-11-29,Bank of Abyssinia,Google Play,0.4754,positive
Customer service not existing....,1,2025-11-29,Bank of Abyssinia,Google Play,0.0,neutral
It's awesome! love it,5,2025-11-29,Bank of Abyssinia,Google Play,0.8622,positive
many many years no problems,5,2025-11-29,Bank of Abyssinia,Google Play,0.3089,positive
it would be better if we could get daily updates/ predictions of when your new card is going to be delivered,4,2025-11-29,Bank of Abyssinia,Google Play,0.4404,positive
I really appreciate the online bofa system it really structures my life thanks!!!,5,2025-11-29,Bank of Abyssinia,Google Play,0.7763,positive
why not show us we need an updatei steady nothing works but shows it is. this bank is getting on my last nerve,1,2025-11-29,Bank of Abyssinia,Google Play,0.0,neutral
App is crashing / logging out when I log in for the first time in a day,2,2025-11-29,Bank of Abyssinia,Google Play,0.0,neutral
👍🏻GREAT,5,2025-11-29,Bank of Abyssinia,Google Play,0.0,neutral
very easy on the eyes,4,2025-11-29,Bank of Abyssinia,Google Play,0.4927,positive
great,5,2025-11-29,Bank of Abyssinia,Google Play,0.6249,positive
"Feels insecure. Constantly asks me to update my personal information, when no changes have been made in years. slow loading account transactions. Have to individually pay credit card bills, instead of a single page. Just very clumsy application all around.",1,2025-11-29,Bank of Abyssinia,Google Play,-0.4215,negative
I can't see all the transactions. I want to see from April 10 to now.,1,2025-11-29,Bank of Abyssinia,Google Play,0.0772,positive
always great 👍,5,2025-11-29,Bank of Abyssinia,Google Play,0.6249,positive
excellent,5,2025-11-29,Bank of Abyssinia,Google Play,0.5719,positive
it is always easy to use. it's very convenient.,5,2025-11-29,Bank of Abyssinia,Google Play,0.4404,positive
everything is great,5,2025-11-29,Bank of Abyssinia,Google Play,0.6249,positive
Very easy.,5,2025-11-29,Bank of Abyssinia,Google Play,0.4927,positive
I appreciate Bank of America only sometimes I can't deposit a check online,5,2025-11-29,Bank of Abyssinia,Google Play,0.4019,positive
I've been able to do everything so far with this app,5,2025-11-29,Bank of Abyssinia,Google Play,0.0,neutral
Great App I Really Love It!!!!,5,2025-11-29,Bank of Abyssinia,Google Play,0.8948,positive
great app,5,2025-11-29,Bank of Abyssinia,Google Play,0.6249,positive
very good bank,5,2025-11-29,Bank of Abyssinia,Google Play,0.4927,positive
Application is very friendly and easy to use . 10 out 10 .,5,2025-11-29,Bank of Abyssinia,Google Play,0.7688,positive
"fast and easy,very informative",5,2025-11-29,Bank of Abyssinia,Google Play,0.0,neutral
Awesome!,5,2025-11-29,Bank of Abyssinia,Google Play,0.6588,positive
thank you for all what you do keep online bank safe thank you for acknowledging scammer,5,2025-11-29,Bank of Abyssinia,Google Play,0.7845,positive
Very accessible and easy to navigate.,5,2025-11-29,Bank of Abyssinia,Google Play,0.4877,positive
easy to use.,5,2025-11-29,Bank of Abyssinia,Google Play,0.4404,positive
Easy no hassle!,5,2025-11-29,Bank of Abyssinia,Google Play,0.2481,positive
BofA ABSOLUTELY FREAKING ROCKS!!!! APP is PERFECT,5,2025-11-29,Bank of Abyssinia,Google Play,-0.3169,negative
"b af a is a very good app and if you can't change something in the app you can go online and modify it.. I don't have problems with it and am very content with the features. I wish there was an option to be able to verify say, six months of income without giving my entire statement. other than that, it's great. I've been with B of A for 50 years so obviously this works for me. 50 years! half a century, wow! I just realized how old that sounds and is. lol 😆",5,2025-11-29,Bank of Abyssinia,Google Play,0.9633,positive
Excellent,5,2025-11-29,Bank of Abyssinia,Google Play,0.5719,positive
User friendly,4,2025-11-29,Bank of Abyssinia,Google Play,0.4939,positive
Love the APP and how the bank is keeping up with the times and technology. Always works and been using it for years. BofA is definitely a leader on its app and in the banking industry. Still loving it after decades as a customer. App still works flawlessly.,5,2025-11-29,Bank of Abyssinia,Google Play,0.9118,positive
Responsive and easy to use. Never any issues. BOA customer of 45 years.,5,2025-11-29,Bank of Abyssinia,Google Play,0.6597,positive
love it,5,2025-11-29,Bank of Abyssinia,Google Play,0.6369,positive
app no longer working on my phone,1,2025-11-29,Bank of Abyssinia,Google Play,-0.296,negative
"app glitches, get words wrong when speaking needs, take way to long to connect to real person. (Go back to live agents without aI/automated pls). Disappointed in bank overall. when able to reach, live personnel are great, but very hard to come by. Save your money on technology, train and hire drive through tellers back and more call center personnel.",1,2025-11-29,Bank of Abyssinia,Google Play,0.668,positive
awesome 👌,5,2025-11-29,Bank of Abyssinia,Google Play,0.8816,positive
very easy to access all accounts and see all transactions.,5,2025-11-29,Bank of Abyssinia,Google Play,0.4927,positive
awesome good experience,5,2025-11-29,Bank of Abyssinia,Google Play,0.7906,positive
great.nice and fast,5,2025-11-29,Bank of Abyssinia,Google Play,0.0,neutral
fast and efficient! I can also find my way around easily! also? the AI assistant helps 😀💓,5,2025-11-29,Bank of Abyssinia,Google Play,0.9018,positive
Excellent!!,5,2025-11-29,Bank of Abyssinia,Google Play,0.6467,positive
on point!,5,2025-11-29,Bank of Abyssinia,Google Play,0.0,neutral
Your app is realy helpfull.,5,2025-11-29,Bank of Abyssinia,Google Play,0.0,neutral
Easy to use I like the app,5,2025-11-29,Bank of Abyssinia,Google Play,0.6597,positive
Great,5,2025-11-29,Bank of Abyssinia,Google Play,0.6249,positive
Excellent Great Experience with Customer Service And The Bank Tellers Are Super My Branch in Woodstock Ga is ABSOLUTELY A Great Team Been With Them For 11 years 👏👏👏👏,5,2025-11-29,Bank of Abyssinia,Google Play,0.957,positive
smooth,4,2025-11-28,Bank of Abyssinia,Google Play,0.0,neutral
"been with b.o.a for 35 years,great bank.",5,2025-11-28,Bank of Abyssinia,Google Play,0.0,neutral
The app is freezing and booting me out involuntarily. The latest message is that the app has a bug and I should clear my cache. Will this fix itself or is there an update coming soon?,1,2025-11-28,Bank of Abyssinia,Google Play,0.296,positive
Easy to use.,5,2025-11-28,Bank of Abyssinia,Google Play,0.4404,positive
"EASY TO FOLLOW THROUGH, I LIKE IT...",5,2025-11-28,Bank of Abyssinia,Google Play,0.6597,positive
good app,5,2025-11-28,Bank of Abyssinia,Google Play,0.4404,positive
Love this app it is so easy and safe to use.thank you BOA😘 satisfaction is guaranteed 👍👍👍excellent.my favorite app,5,2025-11-28,Bank of Abyssinia,Google Play,0.9628,positive
Once in a while this app can't connect to the mobile data or wifi,2,2025-11-28,Bank of Abyssinia,Google Play,0.0,neutral
y'all don't even deserve a 1 star that's being to nice.,1,2025-11-28,Bank of Abyssinia,Google Play,0.4215,positive
